time,target,machine_state,pid_output
0.0,50.0,50.08705116213268,0.0
0.01,50.0,50.12131644610995,-0.06224158092486711
0.02,50.0,50.14642859313393,-0.0706367939740689
0.03,50.0,50.170066771456575,-0.0835586689924116
0.04,50.0,50.156113575689105,-0.0976339659853132
0.05,50.0,50.20569264222375,-0.08548079691889196
0.06,50.0,50.154123914553686,-0.1260621722799957
0.07,50.0,50.10169444370885,-0.08236010832232524
0.08,50.0,50.11957176287194,-0.057498640920586576
0.09,50.0,50.09062465014668,-0.08229223494679644
0.1,50.0,50.125217879221644,-0.05981316195869467
0.11,50.0,50.12098502966977,-0.09169611304454693
0.12,50.0,50.0587964316169,-0.0836292479882874
0.13,50.0,50.0850938429932,-0.04182574573590689
0.14,50.0,50.16454976767304,-0.0739480609547925
0.15,50.0,50.273482089984135,-0.1267759724705111
0.16,50.0,50.296349423268985,-0.19123964450207487
0.17,50.0,50.28662417329361,-0.18990555468828516
0.18,50.0,50.26548139596991,-0.18282377564795677
0.19,50.0,50.161029825536446,-0.17395110245598797
0.2,50.0,50.14697145418093,-0.10747900600035235
0.21,50.0,50.14040186296256,-0.12073303195089641
0.22,50.0,50.185951750680374,-0.12105202031358235
0.23,50.0,50.18897493466169,-0.15704013621992918
0.24,50.0,50.19155098454662,-0.152881011483211
0.25,50.0,50.21983934369316,-0.15695287437460342
0.26,50.0,50.25470037811519,-0.17953710595558897
0.27,50.0,50.38592549351701,-0.20210266389342985
0.28,50.0,50.303521984265814,-0.29277692019305207
0.29,50.0,50.40267559550278,-0.21340227040084017
0.3,50.0,50.400516989097085,-0.3053306340494957
0.31,50.0,50.40320003932091,-0.2899966421545737
0.32,50.0,50.41045270123348,-0.2983544991822018
0.33,50.0,50.315644042907984,-0.30905154299474125
0.34,50.0,50.38728830541259,-0.24596961042799784
0.35000000000000003,50.0,50.40643733548363,-0.32089165042751017
0.36,50.0,50.453727659428736,-0.32606367900857236
0.37,50.0,50.459039819687135,-0.36214301464736914
0.38,50.0,50.49529078402635,-0.36328905933453404
0.39,50.0,50.544988226353986,-0.39503166408070167
0.4,50.0,50.56143611912743,-0.430744504237512
0.41000000000000003,50.0,50.58208269229598,-0.44074008250030605
0.42,50.0,50.5874708831211,-0.46063434554804117
0.43,50.0,50.648712612852066,-0.4690888277387339
0.44,50.0,50.66470101425355,-0.5206110895781667
0.45,50.0,50.65566259514093,-0.5295251398268173
0.46,50.0,50.596667882644766,-0.5298355050947996
0.47000000000000003,50.0,50.585692884603006,-0.49929690840967933
0.48,50.0,50.56868128471242,-0.5121987455487251
0.49,50.0,50.55407819490531,-0.5110158445043527
0.5,50.0,50.53451588109161,-0.5125071745410724
0.51,50.0,50.45881277081402,-0.509751911049278
0.52,50.0,50.38786739257595,-0.4675543881799177
0.53,50.0,50.36025825797401,-0.4388512563574239
0.54,50.0,50.38538072171742,-0.4391178116532915
0.55,50.0,50.322772971260285,-0.4680060740198259
0.56,50.0,50.30185713736096,-0.4239977505200557
0.5700000000000001,50.0,50.25895895000309,-0.4264060739423703
0.58,50.0,50.18676482244616,-0.4044448938217719
0.59,50.0,50.19975353461569,-0.36529011434018493
0.6,50.0,50.20046262126828,-0.39181734138947827
0.61,50.0,50.24975889813036,-0.3927228989314103
0.62,50.0,50.19619193483494,-0.4308348588763034
0.63,50.0,50.27960878741164,-0.38642160821961985
0.64,50.0,50.27013556327211,-0.4597209294935657
0.65,50.0,50.25269573387781,-0.44045833552963953
0.66,50.0,50.294498699123345,-0.43393553578969796
0.67,50.0,50.32367868733484,-0.4711030578272854
0.68,50.0,50.24843927684417,-0.4880236368362476
0.6900000000000001,50.0,50.169975164925,-0.4332466410031391
0.7000000000000001,50.0,50.12959646798936,-0.39591927223173157
0.71,50.0,50.143023254057034,-0.38529095378045725
0.72,50.0,50.10826985267708,-0.40491079222581383
0.73,50.0,50.045448229772745,-0.37952210183646873
0.74,50.0,49.95259796099281,-0.3431793695260141
0.75,50.0,49.92108026496509,-0.2900374753758201
0.76,50.0,49.976789073300935,-0.2853613458868793
0.77,50.0,50.04186360351662,-0.3303128870270279
0.78,50.0,49.93393085212122,-0.36535125056358586
0.79,50.0,49.922462138045425,-0.27579238132549083
0.8,50.0,49.977379668535065,-0.28818776382219374
0.81,50.0,49.83464032057511,-0.32858447300812665
0.8200000000000001,50.0,49.82643635570908,-0.21520302814685835
0.8300000000000001,50.0,49.87376139408549,-0.2354046676682612
0.84,50.0,49.937222677863076,-0.26827940841624015
0.85,50.0,49.944668505118585,-0.3022956395532128
0.86,50.0,49.97595668097569,-0.2939854894533311
0.87,50.0,50.00159730817717,-0.3140373973168392
0.88,50.0,49.94219051668409,-0.3257521608091085
0.89,50.0,49.85813559674353,-0.27817213907392246
0.9,50.0,49.81431066625765,-0.22908708736529626
0.91,50.0,49.79853688664832,-0.21243528000715556
0.92,50.0,49.7360671772091,-0.20713667367752892
0.93,50.0,49.69392854869009,-0.16260364065007626
0.9400000000000001,50.0,49.73178682604541,-0.14100947080496304
0.9500000000000001,50.0,49.77487852174002,-0.17191479304816998
0.96,50.0,49.784274108545986,-0.1911305023894359
0.97,50.0,49.777114434408176,-0.18585318564287864
0.98,50.0,49.868597521439845,-0.17561901290134113
0.99,50.0,49.83816363902652,-0.23911807147266925
1.0,50.0,49.74957693451682,-0.1970901909624045
1.01,50.0,49.75177663557555,-0.13740992830603102
1.02,50.0,49.731827848230765,-0.15294370948271954
1.03,50.0,49.80433995571015,-0.1345170358530824
1.04,50.0,49.7528515860214,-0.18633036789326046
